FAMILY,SENIORS,STUDENTS,PwD,GENDER,CATEGORY,DID
0,1,0,0,NULL,NULL,1
0,0,0,1,NULL,NULL,2
0,0,1,0,NULL,SC/ST/OBC,3
0,0,0,0,OTHERS,NULL,4
0,0,0,0,FEMALE,NULL,5
0,0,0,0,FEMALE,NULL,6
0,0,0,0,FEMALE,NULL,7
0,0,0,0,FEMALE,NULL,8
1,0,0,0,NULL,NULL,9
1,0,0,0,NULL,NULL,10
0,0,0,0,FEMALE,NULL,11
0,0,1,0,NULL,SC/ST/OBC,12
0,0,1,0,NULL,SC/ST/OBC,13
0,0,1,0,NULL,SC/ST/OBC,14
0,0,1,0,NULL,SC/ST/OBC,15
0,0,0,0,NULL,SC/ST/OBC,16
0,0,1,0,NULL,SC/ST/OBC,17
0,0,1,0,NULL,NULL,18
0,0,1,0,NULL,NULL,19
0,0,1,0,NULL,NULL,20
0,0,1,0,NULL,NULL,21
0,0,1,0,FEMALE,NULL,22
0,0,1,0,NULL,EWS,23
0,0,1,0,FEMALE,NULL,24
0,0,1,0,NULL,NULL,25
0,0,1,1,NULL,NULL,26
0,0,1,0,NULL,NULL,27
0,0,0,0,NULL,NULL,28
0,1,0,0,NULL,NULL,29
0,0,0,0,FEMALE,NULL,30
0,0,0,0,FEMALE,NULL,31
0,0,1,0,NULL,SC/ST/OBC,32
0,1,0,0,NULL,NULL,33
1,0,0,0,NULL,NULL,34
0,0,1,0,NULL,SC/ST/OBC,35
0,0,1,0,NULL,SC/ST/OBC,36
0,0,1,0,NULL,NULL,37
0,0,0,0,NULL,NULL,38
0,0,0,0,FEMALE,NULL,39
0,0,0,0,NULL,NULL,40
0,0,0,0,NULL,NULL,41
0,0,0,0,NULL,NULL,42
0,0,0,0,NULL,NULL,43
0,0,0,0,NULL,NULL,44
0,0,0,0,NULL,NULL,45
0,0,0,0,NULL,NULL,46
0,0,0,0,NULL,NULL,47
0,0,0,0,NULL,NULL,48
